,Word,Word1,Count1,Word2,Count2,Word3,Count3,Sum,Suggestion
30,sausage,delicious,121,fresh,114,free,15,1379,You can do better on making your sausage more delicious fresh and economical to win more positive reviews.
31,garlic,fresh,185,delicious,131,free,24,1515,You can do better on making your garlic product more delicious fresh and economical to win more positive reviews.
32,meat,fresh,153,delicious,103,cheap,19,1306,Please improve your meat to be more delicious fresh and economical to win more positive reviews.
33,tomato,fresh,307,delicious,103,cheap,11,1207,Please improve your tomato product to be more delicious fresh and economical to win more positive reviews.
34,appetizer,delicious,145,fresh,47,free,36,1282,You can do better on making your appetizer more delicious fresh and economical to win more positive reviews.
35,manager,free,50,fresh,11,clean,8,611,Our suggestion is to modify your manager to be cleaner to win more positive reviews.
36,style,delicious,80,fresh,55,casual,16,1419,People hold that pizza business should be delicious economical and relaxed ; keep on working towards these to win more positive reviews.
37,mushroom,fresh,124,delicious,69,cheap,5,870,Please improve your mushroom product to be more delicious fresh and economical to win more positive reviews.
38,pepper,fresh,105,delicious,75,free,6,828,You can do better on making your pepper product more delicious fresh and economical to win more positive reviews.
39,dough,fresh,282,delicious,85,free,30,1284,You can do better on making your dough product more delicious fresh and economical to win more positive reviews.
40,dessert,delicious,95,free,58,fresh,37,989,It is a good idea to perfect your dessert to be more delicious fresh and economical to win more positive reviews.
41,soup,delicious,90,fresh,47,free,12,893,You can do better on making your soup more delicious fresh and economical to win more positive reviews.
42,steak,delicious,59,fresh,32,cheap,10,850,We suggest you perfect your steak towards more delicious fresh and economical to win more positive reviews.
43,onion,fresh,79,delicious,40,free,5,614,You can do better on making your onion product more delicious fresh and economical to win more positive reviews.
44,bartender,delicious,17,free,9,clean,9,971,Our suggestion is to modify your bartender to be cleaner to win more positive reviews.
45,bacon,delicious,81,fresh,52,free,6,803,You can do better on making your bacon more delicious fresh and economical to win more positive reviews.
46,kitchen,clean,36,fresh,25,free,15,669,You can do better on making your kitchen cleaner to win more positive reviews.
47,hoagie,delicious,58,fresh,25,free,8,661,You can do better on making your hoagie more delicious fresh and economical to win more positive reviews.
48,fan,delicious,44,fresh,12,free,5,1180,Please provide your fan more delicious fresh and economical food to win more positive reviews.
49,parking,free,73,clean,13,fresh,4,533,It is a good idea to perfect your parking to be more economical and clean to win more positive reviews.
50,mozzarella,fresh,442,delicious,76,cheap,6,948,We suggest you perfect your mozzarella pizza towards more delicious fresh and economical to win more positive reviews.
51,employee,clean,16,free,12,fresh,10,589,It is a good idea to perfect your employee service to be more economical and clean to win more positive reviews.
52,water,free,24,fresh,22,delicious,13,510,Our suggestion is to modify your water product to be more economical fresh and delicious to win more positive reviews.
53,potato,delicious,40,fresh,27,cheap,3,630,We suggest you perfect your potato product towards more delicious fresh and economical to win more positive reviews.
54,waiter,free,16,delicious,16,fresh,9,678,It is a good idea to perfect your waiter and their service to be more delicious fresh and economical to win more positive reviews.
55,entree,delicious,59,fresh,16,free,8,491,You can do better on making your entree more delicious fresh and economical to win more positive reviews.
56,oil,fresh,140,delicious,71,free,20,722,You can do better on making your oil product more delicious fresh and economical to win more positive reviews.
57,cream,delicious,58,fresh,44,free,15,607,Our suggestion is to change your cream more delicious fresh and economical to win more positive reviews. 
58,serve,fresh,33,delicious,28,cheap,10,536,We suggest you perfect your pizza service towards more delicious fresh and economical to win more positive reviews.
59,shrimp,delicious,40,fresh,36,free,5,467,Our suggestion is to change your shrimp product more delicious fresh and economical to win more positive reviews. 
60,fish,fresh,33,delicious,22,clean,3,450,Our suggestion is to modify your fish to be more delicious fresh and clean to win more positive reviews.
61,parmesan,fresh,79,delicious,60,free,7,554,Our suggestion is to change your parmesan more delicious fresh and economical to win more positive reviews. 
62,spinach,fresh,76,delicious,44,free,4,555,Our suggestion is to change your spinach product more delicious fresh and economical to win more positive reviews. 
63,beef,delicious,42,fresh,27,healthy,4,440,It is a good idea to perfect your beef to be more delicious fresh and healthy to win more positive reviews.
64,egg,delicious,28,fresh,25,cheap,2,393,We suggest you perfect your product contains egg towards more delicious fresh and economical to win more positive reviews.
65,brunch,delicious,30,fresh,9,casual,4,448,Keep on working towards delicious fresh and relaxed brunch environment to win more positive reviews.
66,ice,delicious,34,fresh,16,free,16,428,Our suggestion is to change your product including ice more delicious fresh and economical to win more positive reviews. 
67,chef,fresh,28,delicious,23,free,9,461,Our suggestion is to change your chef serve more delicious fresh and economical food to win more positive reviews. 
68,breadstick,delicious,36,free,29,fresh,12,351,It is a good idea to perfect your breadstick to be more delicious fresh and economical to win more positive reviews.
69,breakfast,delicious,28,fresh,5,free,5,426,Our suggestion is to change your breakfast more delicious fresh and economical to win more positive reviews. 
70,cake,delicious,44,fresh,19,free,10,407,Our suggestion is to change your cake more delicious fresh and economical to win more positive reviews. 
71,marinara,delicious,53,fresh,42,free,3,487,Our suggestion is to change your marinara more delicious fresh and economical to win more positive reviews. 
72,pork,delicious,58,fresh,15,free,3,447,Our suggestion is to change your pork product more delicious fresh and economical to win more positive reviews. 
73,spaghetti,delicious,40,fresh,16,free,4,440,Our suggestion is to change your spaghetti more delicious fresh and economical to win more positive reviews. 
74,lettuce,fresh,96,delicious,25,cheap,7,348,We suggest you perfect your lettuce product towards more delicious fresh and economical to win more positive reviews.
75,bbq,delicious,45,fresh,15,cheap,4,476,We suggest you perfect your bbq towards more delicious fresh and economical to win more positive reviews.
76,music,clean,15,free,12,casual,10,553,Please add relaxed music to win more positive reviews.
77,lasagna,delicious,39,fresh,15,cheap,3,394,We suggest you perfect your lasagna towards more delicious fresh and economical to win more positive reviews.
78,cocktail,delicious,40,fresh,15,free,7,426,Our suggestion is to change your cocktail more delicious fresh and economical to win more positive reviews. 
79,eggplant,delicious,55,fresh,25,deliciousness,2,423,Our suggestion is to modify your eggplant to be more delicious fresh to win more positive reviews.
80,gnocchi,delicious,50,fresh,28,deliciousness,2,386,Our suggestion is to modify your gnocchi to be more delicious fresh to win more positive reviews.
81,butter,delicious,49,fresh,33,free,4,432,Our suggestion is to change your butter product more delicious fresh and economical to win more positive reviews. 
82,ravioli,delicious,41,fresh,19,cheap,1,371,We suggest you perfect your ravioli towards more delicious fresh and economical to win more positive reviews.
83,taco,delicious,23,fresh,10,free,5,292,Our suggestion is to change your taco more delicious fresh and economical to win more positive reviews. 
84,margherita,fresh,45,delicious,35,free,5,379,Our suggestion is to change your margherita more delicious fresh and economical to win more positive reviews. 
85,chocolate,delicious,42,fresh,14,free,13,358,Our suggestion is to change your chocolate product more delicious fresh and economical to win more positive reviews. 
86,coffee,fresh,18,delicious,16,free,10,320,Our suggestion is to change your coffee more delicious fresh and economical to win more positive reviews. 
87,takeout,delicious,13,fresh,11,casual,8,384,Keep on working towards delicious fresh takeout to win more positive reviews.
88,management,clean,7,cheap,2,comfortable,2,241,Our suggestion is to modify your management to be more comfortable economical and clean to win more positive reviews.
89,building,clean,13,casual,4,delicious,4,338,Our suggestion is to modify your building to be more casual and clean to win more positive reviews.
90,tv,clean,13,comfortable,7,delicious,3,230,Our suggestion is to modify your tv show to be more comfortable to win more positive reviews.
91,soda,free,24,fresh,10,delicious,8,203,Our suggestion is to modify your soda to be more delicious fresh and economical to win more positive reviews.
92,attitude,free,4,delicious,2,fresh,2,174,It is a good idea to perfect your service style to be more delicious fresh and economical to win more positive reviews.
93,salt,fresh,24,delicious,11,cheap,3,232,We suggest you perfect your product contains salt towards more delicious fresh and economical to win more positive reviews.
94,seafood,fresh,29,delicious,17,cheap,2,265,We suggest you perfect your seafood towards more delicious fresh and economical to win more positive reviews.
95,caesar,fresh,21,delicious,11,free,2,210,Our suggestion is to change your caesar more delicious fresh and economical to win more positive reviews. 
96,grease,fresh,10,delicious,8,cheap,5,219,Please improve your grease related product to be more delicious fresh and economical to win more positive reviews.
97,buffet,fresh,12,clean,6,cheap,5,158,Please improve your buffet to be more delicious fresh and economical to win more positive reviews.
98,worker,delicious,9,clean,7,free,3,218,Our suggestion is to change your worker cleaner and provide more delicious and economical food to win more positive reviews. 
99,tiramisu,delicious,30,fresh,5,scrumptious,2,256,It is a good idea to perfect your tiramisu to be more delicious fresh to win more positive reviews.
100,doughy,fresh,20,delicious,16,cheap,4,235,Please improve your doughy product to be more delicious fresh and economical to win more positive reviews.
101,cooking,fresh,9,delicious,8,clean,4,221,Our suggestion is to modify your cooking to be more delicious fresh and clean to win more positive reviews.
102,diner,clean,9,casual,5,free,4,170,Our suggestion is to change your diner more delicious fresh and economical to win more positive reviews. 
103,fee,cheap,7,free,4,efficient,1,76,Our suggestion is to modify your fee to be more acceptable to win more positive reviews.
104,wing,delicious,151,fresh,57,free,20,1862,Our suggestion is to change your wing more delicious fresh and economical to win more positive reviews. 
105,topping,fresh,438,delicious,158,free,41,2257,Our suggestion is to change your topping more delicious fresh and economical to win more positive reviews. 
106,dressing,fresh,157,delicious,106,healthy,12,1121,It is a good idea to perfect your business dressing and style to be more fresh and healthy to win more positive reviews.
107,olive,fresh,111,delicious,55,free,7,694,Our suggestion is to change your olive product more delicious fresh and economical to win more positive reviews. 
108,serving,delicious,24,fresh,22,healthy,5,443,It is a good idea to perfect your serving to be more delicious fresh and healthy to win more positive reviews.
109,seasoning,fresh,14,delicious,13,free,2,218,Our suggestion is to change your seasoning more delicious fresh and economical to win more positive reviews. 
